"id","order_fabrication","number of pallete","interior_diamter","exterior_diamter","length","geometry_validation","flat_crush","humidity","valeurstemp","import_date","trial179"
2094,"38290",NULL,"0","0","0",NULL,"0.685","7.1",0,NULL,"T"
2095,"38290",NULL,"0","0","0",NULL,"0.684",NULL,0,NULL,"T"
2096,"38234",NULL,"0","0","0",NULL,"2.515","7.88",0,NULL,"T"
2097,"38234",NULL,"0","0","0",NULL,"2.581","0",0,NULL,"T"
2098,"38235",NULL,"0","0","0",NULL,"3.125","7.49",0,NULL,"T"
2099,"38235",NULL,"0","0","0",NULL,"3.156","0",0,NULL,"T"
2195,"38290","13",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2196,"38290","13",NULL,NULL,"3007",NULL,"0","0",0,NULL,"T"
2197,"38290","13","152.7","168.02","3005","1","0","0",0,NULL,"T"
2198,"38290","15",NULL,NULL,"3004",NULL,"0","0",0,NULL,"T"
2199,"38290","15",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2200,"38290","15","152.7","167.83","3003","1","0","0",0,NULL,"T"
2201,"38290","14",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2202,"38290","14",NULL,NULL,"3006",NULL,"0","0",0,NULL,"T"
2203,"38290","14","152.7","167.93","3004","1","0","0",0,NULL,"T"
2204,"38290","8",NULL,NULL,"3004",NULL,"0","0",0,NULL,"T"
2205,"38290","8",NULL,NULL,"3004",NULL,"0","0",0,NULL,"T"
2206,"38290","8","152.7","167.73","3001","1","0","0",0,NULL,"T"
2207,"38290","9",NULL,NULL,"3006",NULL,"0","0",0,NULL,"T"
2208,"38290","9",NULL,NULL,"3007",NULL,"0","0",0,NULL,"T"
2209,"38290","9","152.7","167.91","3005","1","0","0",0,NULL,"T"
2210,"38290","12",NULL,NULL,"3004",NULL,"0","0",0,NULL,"T"
2211,"38290","12",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2212,"38290","12","152.7","168.05","3004","1","0","0",0,NULL,"T"
2213,"38290","1",NULL,NULL,"3006",NULL,"0","0",0,NULL,"T"
2214,"38290","1",NULL,NULL,"3008",NULL,"0","0",0,NULL,"T"
2215,"38290","1","152.7","168.27","3006","1","0","0",0,NULL,"T"
2216,"38290","10",NULL,NULL,"3004",NULL,"0","0",0,NULL,"T"
2217,"38290","10",NULL,NULL,"3006",NULL,"0","0",0,NULL,"T"
2218,"38290","10","152.7","168.19","3004","1","0","0",0,NULL,"T"
2219,"38290","2",NULL,NULL,"3007",NULL,"0","0",0,NULL,"T"
2220,"38290","2",NULL,NULL,"3008",NULL,"0","0",0,NULL,"T"
2221,"38290","2","152.7","167.75","3005","1","0","0",0,NULL,"T"
2222,"38290","3",NULL,NULL,"3006",NULL,"0","0",0,NULL,"T"
2223,"38290","3",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2224,"38290","3","152.7","168.2","3003","1","0","0",0,NULL,"T"
2225,"38290","11",NULL,NULL,"3007",NULL,"0","0",0,NULL,"T"
2226,"38290","11",NULL,NULL,"3007",NULL,"0","0",0,NULL,"T"
2227,"38290","11","152.7","167.95","3005","1","0","0",0,NULL,"T"
2228,"38290","4",NULL,NULL,"3003",NULL,"0","0",0,NULL,"T"
2229,"38290","4",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2230,"38290","4","152.7","167.82","3003","1","0","0",0,NULL,"T"
2231,"38290","5",NULL,NULL,"3007",NULL,"0","0",0,NULL,"T"
2232,"38290","5",NULL,NULL,"3007",NULL,"0","0",0,NULL,"T"
2233,"38290","5","152.7","168.12","3005","1","0","0",0,NULL,"T"
2234,"38290","6",NULL,NULL,"3003",NULL,"0","0",0,NULL,"T"
2235,"38290","6",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2236,"38290","6","152.7","167.74","3003","1","0","0",0,NULL,"T"
2237,"38290","7",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2238,"38290","7",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2239,"38290","7","152.7","168.06","3004","1","0","0",0,NULL,"T"
2240,"38290","16",NULL,NULL,"3004",NULL,"0","0",0,NULL,"T"
2241,"38290","16",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2242,"38290","16","152.7","167.92","3003","1","0","0",0,NULL,"T"
2244,"38273",NULL,"0","0","0",NULL,"0.539","7.22",0,NULL,"T"
2245,"37912",NULL,"0","0","0",NULL,"0.8","7.88",0,NULL,"T"
2246,"37912",NULL,"0","0","0",NULL,"0.796","0",0,NULL,"T"
2247,"38272",NULL,"0","0","0",NULL,"0.513","7.14",0,NULL,"T"
2248,"38272",NULL,"0","0","0",NULL,"0.541","0",0,NULL,"T"
2249,"38271",NULL,"0","0","0",NULL,"0.488","7.15",0,NULL,"T"
2250,"38271",NULL,"0","0","0",NULL,"0.479","0",0,NULL,"T"
2251,"38212",NULL,"0","0","0",NULL,"0.697","7.35",0,NULL,"T"
2252,"38212",NULL,"0","0","0",NULL,"0.809","0",0,NULL,"T"
2253,"38167",NULL,"0","0","0",NULL,"0.458","7.8",0,NULL,"T"
2254,"38167",NULL,"0","0","0",NULL,"0.514","0",0,NULL,"T"
2255,"38166",NULL,"0","0","0",NULL,"0.534","6.98",0,NULL,"T"
2256,"38166",NULL,"0","0","0",NULL,"0.452","0",0,NULL,"T"
2257,"38234","6",NULL,NULL,"2603",NULL,"0","0",0,NULL,"T"
2258,"38234","6",NULL,NULL,"2603",NULL,"0","0",0,NULL,"T"
2259,"38234","6","76.6","106.38","2601","1","0","0",0,NULL,"T"
2260,"38234","3",NULL,NULL,"2603",NULL,"0","0",0,NULL,"T"
2261,"38234","3",NULL,NULL,"2603",NULL,"0","0",0,NULL,"T"
2262,"38234","3","76.5","106.52","2603","1","0","0",0,NULL,"T"
2263,"38234","5",NULL,NULL,"2602",NULL,"0","0",0,NULL,"T"
2264,"38234","5",NULL,NULL,"2602",NULL,"0","0",0,NULL,"T"
2265,"38234","5","76.6","106.24","2601","1","0","0",0,NULL,"T"
2266,"38234","1",NULL,NULL,"2602",NULL,"0","0",0,NULL,"T"
2267,"38234","1",NULL,NULL,"2602",NULL,"0","0",0,NULL,"T"
2268,"38234","1","76.5","106.35","2603","1","0","0",0,NULL,"T"
2269,"38234","4",NULL,NULL,"2602",NULL,"0","0",0,NULL,"T"
2270,"38234","4",NULL,NULL,"2602",NULL,"0","0",0,NULL,"T"
2271,"38234","4","76.5","106.63","2602","1","0","0",0,NULL,"T"
2272,"38234","2",NULL,NULL,"2602",NULL,"0","0",0,NULL,"T"
2273,"38234","2",NULL,NULL,"2603",NULL,"0","0",0,NULL,"T"
2274,"38234","2","76.5","106.44","2602","1","0","0",0,NULL,"T"
2275,"38235","1",NULL,NULL,"3453",NULL,"0","0",0,NULL,"T"
2276,"38235","1",NULL,NULL,"3454",NULL,"0","0",0,NULL,"T"
2277,"38235","1","70.6","106.46","3452","1","0","0",0,NULL,"T"
2278,"38235","2",NULL,NULL,"3454",NULL,"0","0",0,NULL,"T"
2279,"38235","2",NULL,NULL,"3455",NULL,"0","0",0,NULL,"T"
2280,"38235","2","70.6","106.26","3455","1","0","0",0,NULL,"T"
2281,"38271","1",NULL,NULL,"2109",NULL,"0","0",0,NULL,"T"
2282,"38271","1",NULL,NULL,"2110",NULL,"0","0",0,NULL,"T"
2283,"38271","1","128.3","140.51","2106","1","0","0",0,NULL,"T"
2284,"38271","2",NULL,NULL,"2106",NULL,"0","0",0,NULL,"T"
2285,"38271","2",NULL,NULL,"2110",NULL,"0","0",0,NULL,"T"
2286,"38271","2","128.3","140.45","2108","1","0","0",0,NULL,"T"
2287,"38167",NULL,"128.3","140.22","5224","1","0","0",0,NULL,"T"
2288,"38167",NULL,NULL,NULL,"5224",NULL,"0","0",0,NULL,"T"
2289,"38167",NULL,"128.3","139.87","5223","1","0","0",0,NULL,"T"
2290,"38167",NULL,NULL,NULL,"5223",NULL,"0","0",0,NULL,"T"
2291,"38167",NULL,"128.2","140.06","5223","1","0","0",0,NULL,"T"
2292,"38167",NULL,NULL,NULL,"5226",NULL,"0","0",0,NULL,"T"
2293,"38273",NULL,"128.3","140.46","5227","1","0","0",0,NULL,"T"
2294,"38273",NULL,NULL,NULL,"5222",NULL,"0","0",0,NULL,"T"
2295,"38273",NULL,"128.2","140.37","5226","1","0","0",0,NULL,"T"
2296,"38273",NULL,NULL,NULL,"5224",NULL,"0","0",0,NULL,"T"
2297,"38273",NULL,"128.3","140.16","5221","1","0","0",0,NULL,"T"
2298,"37912",NULL,NULL,NULL,"5218",NULL,"0","0",0,NULL,"T"
2299,"37912",NULL,"128.3","144.14","5215","1","0","0",0,NULL,"T"
2300,"38212",NULL,NULL,NULL,"5208",NULL,"0","0",0,NULL,"T"
2301,"38212",NULL,"128.3","144.64","5213","1","0","0",0,NULL,"T"
