"client","order_fabrication_id","interior_diameter","interior_diameterx","diamter_exterior","diamter_exteriorx","length","lengthp","flat_crush","flat_crushp","h2o","humidité (_)","date contrôle","mois","trial358"
"NORSKE SKOG GOLBEY","45865","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.103","7","7.33","2006-07-03 00:00:00",200607,"T"
"NORSKE SKOG GOLBEY","45846","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.191","7","7.4","2006-07-03 00:00:00",200607,"T"
"NORSKE SKOG GOLBEY","45864","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.196","7","7.11","2006-07-11 00:00:00",200607,"T"
"NORSKE SKOG GOLBEY","45864","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.17","7","7.09","2006-07-11 00:00:00",200607,"T"
"NORSKE SKOG GOLBEY","45848","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.13","7","6.97","2006-07-10 00:00:00",200607,"T"
"NORSKE SKOG GOLBEY","45850","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.416","7","6.98","2006-08-01 00:00:00",200608,"T"
"NORSKE SKOG GOLBEY","45850","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.772","7","7.19","2006-08-01 00:00:00",200608,"T"
"NORSKE SKOG GOLBEY","45862","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.213","7","7.13","2006-07-25 00:00:00",200607,"T"
"NORSKE SKOG GOLBEY","45584","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.185","7","7.15","2006-08-01 00:00:00",200608,"T"
"NORSKE SKOG GOLBEY","45584","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.388","7","7.02","2006-08-01 00:00:00",200608,"T"
"NORSKE SKOG GOLBEY","45863","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.305","7","7.15","2006-08-01 00:00:00",200608,"T"
"NORSKE SKOG GOLBEY","45854","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.306","7","7.21","2006-08-07 00:00:00",200608,"T"
"NORSKE SKOG GOLBEY","45856","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.589","7","6.76","2006-08-21 00:00:00",200608,"T"
"NORSKE SKOG GOLBEY","45860","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.368","7","7.34","2006-08-16 00:00:00",200608,"T"
"NORSKE SKOG GOLBEY","46404","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.156","7","7.47","2006-08-21 00:00:00",200608,"T"
"NORSKE SKOG GOLBEY","45861","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.376","7","7.19","2006-08-25 00:00:00",200608,"T"
"NORSKE SKOG GOLBEY","46328","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.311","7","7.21","2006-08-30 00:00:00",200608,"T"
"NORSKE SKOG GOLBEY","46324","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.293","7","7.21","2006-09-01 00:00:00",200609,"T"
"NORSKE SKOG GOLBEY","46323","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.307","7","7.15","2006-09-01 00:00:00",200609,"T"
"NORSKE SKOG GOLBEY","46519","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.034","7","7.4","2006-09-06 00:00:00",200609,"T"
"NORSKE SKOG GOLBEY","46515","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.119","7","7.19","2006-09-06 00:00:00",200609,"T"
"NORSKE SKOG GOLBEY","46513","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.056","7","7.39","2006-09-13 00:00:00",200609,"T"
"NORSKE SKOG GOLBEY","46510","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.341","7","7.08","2006-09-19 00:00:00",200609,"T"
"NORSKE SKOG GOLBEY","46517","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.368","7","7.02","2006-09-27 00:00:00",200609,"T"
"NORSKE SKOG GOLBEY","46509","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.266","7","7.15","2006-10-02 00:00:00",200610,"T"
"NORSKE SKOG GOLBEY","46865","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.385","7","7.15","2006-10-04 00:00:00",200610,"T"
"NORSKE SKOG GOLBEY","45852","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.505","7","7.08","2006-10-09 00:00:00",200610,"T"
"NORSKE SKOG GOLBEY","46871","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.519","7","7.26","2006-10-16 00:00:00",200610,"T"
"NORSKE SKOG GOLBEY","46866","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.365","7","7.16","2006-10-09 00:00:00",200610,"T"
"NORSKE SKOG GOLBEY","46868","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.318","7","7.61","2006-10-23 00:00:00",200610,"T"
"NORSKE SKOG GOLBEY","46868","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.542","7","7.51","2006-10-23 00:00:00",200610,"T"
"NORSKE SKOG GOLBEY","46867","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.502","7","7.62","2006-10-16 00:00:00",200610,"T"
"NORSKE SKOG GOLBEY","46870","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.701","7","7.18","2006-11-16 00:00:00",200611,"T"
"NORSKE SKOG GOLBEY","46869","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.313","7","7.09","2006-11-15 00:00:00",200611,"T"
"NORSKE SKOG GOLBEY","47161","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.281","7","7.41","2006-11-08 00:00:00",200611,"T"
"NORSKE SKOG GOLBEY","47163","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.36","7","7.02","2006-11-22 00:00:00",200611,"T"
"NORSKE SKOG GOLBEY","47163","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.428","7","7.3","2006-11-22 00:00:00",200611,"T"
"NORSKE SKOG GOLBEY","47163","76.5",NULL,"106.5",NULL,"9800",NULL,"3","3.346","7","7.45","2006-11-22 00:00:00",200611,"T"
"NORSKE SKOG GOLBEY","47398","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.255","7","7.45","2006-11-22 00:00:00",200611,"T"
"NORSKE SKOG GOLBEY","47398","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.154","7","7.38","2006-11-22 00:00:00",200611,"T"
"NORSKE SKOG GOLBEY","47511","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.333","7","7.21","2006-12-11 00:00:00",200612,"T"
"NORSKE SKOG GOLBEY","47508","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.009","7","7.61","2006-12-08 00:00:00",200612,"T"
"NORSKE SKOG GOLBEY","47513","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.49","7","7.16","2006-12-20 00:00:00",200612,"T"
"NORSKE SKOG GOLBEY","47515","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.459","7","7.24","2006-12-20 00:00:00",200612,"T"
"NORSKE SKOG GOLBEY","47519","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.599","7","7.04","2007-01-11 00:00:00",200701,"T"
"NORSKE SKOG GOLBEY","47517","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.403","7","7.29","2006-12-29 00:00:00",200612,"T"
"NORSKE SKOG GOLBEY","47761","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.264","7","7.14","2007-03-02 00:00:00",200703,"T"
"NORSKE SKOG GOLBEY","47761","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.372","7","7.14","2007-03-02 00:00:00",200703,"T"
"NORSKE SKOG GOLBEY","47763","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.392","7","7.09","2007-02-19 00:00:00",200702,"T"
"NORSKE SKOG GOLBEY","47765","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.391","7","7.15","2007-01-25 00:00:00",200701,"T"
"NORSKE SKOG GOLBEY","47767","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.4","7","7.18","2007-01-25 00:00:00",200701,"T"
"NORSKE SKOG GOLBEY","47767","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.388","7","7.08","2007-01-25 00:00:00",200701,"T"
"NORSKE SKOG GOLBEY","47171","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.315","7","7.36","2007-02-16 00:00:00",200702,"T"
"NORSKE SKOG GOLBEY","47171","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.291","7","7.5","2007-02-16 00:00:00",200702,"T"
