"N°","N°OF","N°_Palette","Diamètre_intérieure__mm_","Diamètre_extérieure__mm_","Longueur___mm_","Validation_géométrie__x_","Flat_Crush__kN_","Humidité__%_","Valeurstemp","Date_et_heure_d_importation"
2094,"38290","",0,0,0,"",0.685,7.1,0,
2095,"38290","",0,0,0,"",0.684,,0,
2096,"38234","",0,0,0,"",2.515,7.88,0,
2097,"38234","",0,0,0,"",2.581,0,0,
2098,"38235","",0,0,0,"",3.125,7.49,0,
2099,"38235","",0,0,0,"",3.156,0,0,
2195,"38290","13",,,3005,"",0,0,0,
2196,"38290","13",,,3007,"",0,0,0,
2197,"38290","13",152.7,168.02,3005,"1",0,0,0,
2198,"38290","15",,,3004,"",0,0,0,
2199,"38290","15",,,3005,"",0,0,0,
2200,"38290","15",152.7,167.83,3003,"1",0,0,0,
2201,"38290","14",,,3005,"",0,0,0,
2202,"38290","14",,,3006,"",0,0,0,
2203,"38290","14",152.7,167.93,3004,"1",0,0,0,
2204,"38290","8",,,3004,"",0,0,0,
2205,"38290","8",,,3004,"",0,0,0,
2206,"38290","8",152.7,167.73,3001,"1",0,0,0,
2207,"38290","9",,,3006,"",0,0,0,
2208,"38290","9",,,3007,"",0,0,0,
2209,"38290","9",152.7,167.91,3005,"1",0,0,0,
2210,"38290","12",,,3004,"",0,0,0,
2211,"38290","12",,,3005,"",0,0,0,
2212,"38290","12",152.7,168.05,3004,"1",0,0,0,
2213,"38290","1",,,3006,"",0,0,0,
2214,"38290","1",,,3008,"",0,0,0,
2215,"38290","1",152.7,168.27,3006,"1",0,0,0,
2216,"38290","10",,,3004,"",0,0,0,
2217,"38290","10",,,3006,"",0,0,0,
2218,"38290","10",152.7,168.19,3004,"1",0,0,0,
2219,"38290","2",,,3007,"",0,0,0,
2220,"38290","2",,,3008,"",0,0,0,
2221,"38290","2",152.7,167.75,3005,"1",0,0,0,
2222,"38290","3",,,3006,"",0,0,0,
2223,"38290","3",,,3005,"",0,0,0,
2224,"38290","3",152.7,168.2,3003,"1",0,0,0,
2225,"38290","11",,,3007,"",0,0,0,
2226,"38290","11",,,3007,"",0,0,0,
2227,"38290","11",152.7,167.95,3005,"1",0,0,0,
2228,"38290","4",,,3003,"",0,0,0,
2229,"38290","4",,,3005,"",0,0,0,
2230,"38290","4",152.7,167.82,3003,"1",0,0,0,
2231,"38290","5",,,3007,"",0,0,0,
2232,"38290","5",,,3007,"",0,0,0,
2233,"38290","5",152.7,168.12,3005,"1",0,0,0,
2234,"38290","6",,,3003,"",0,0,0,
2235,"38290","6",,,3005,"",0,0,0,
2236,"38290","6",152.7,167.74,3003,"1",0,0,0,
2237,"38290","7",,,3005,"",0,0,0,
2238,"38290","7",,,3005,"",0,0,0,
2239,"38290","7",152.7,168.06,3004,"1",0,0,0,
2240,"38290","16",,,3004,"",0,0,0,
2241,"38290","16",,,3005,"",0,0,0,
2242,"38290","16",152.7,167.92,3003,"1",0,0,0,
2244,"38273","",0,0,0,"",0.539,7.22,0,
2245,"37912","",0,0,0,"",0.8,7.88,0,
2246,"37912","",0,0,0,"",0.796,0,0,
2247,"38272","",0,0,0,"",0.513,7.14,0,
2248,"38272","",0,0,0,"",0.541,0,0,
2249,"38271","",0,0,0,"",0.488,7.15,0,
2250,"38271","",0,0,0,"",0.479,0,0,
2251,"38212","",0,0,0,"",0.697,7.35,0,
2252,"38212","",0,0,0,"",0.809,0,0,
2253,"38167","",0,0,0,"",0.458,7.8,0,
2254,"38167","",0,0,0,"",0.514,0,0,
2255,"38166","",0,0,0,"",0.534,6.98,0,
2256,"38166","",0,0,0,"",0.452,0,0,
2257,"38234","6",,,2603,"",0,0,0,
2258,"38234","6",,,2603,"",0,0,0,
2259,"38234","6",76.6,106.38,2601,"1",0,0,0,
2260,"38234","3",,,2603,"",0,0,0,
2261,"38234","3",,,2603,"",0,0,0,
2262,"38234","3",76.5,106.52,2603,"1",0,0,0,
2263,"38234","5",,,2602,"",0,0,0,
2264,"38234","5",,,2602,"",0,0,0,
2265,"38234","5",76.6,106.24,2601,"1",0,0,0,
2266,"38234","1",,,2602,"",0,0,0,
2267,"38234","1",,,2602,"",0,0,0,
2268,"38234","1",76.5,106.35,2603,"1",0,0,0,
2269,"38234","4",,,2602,"",0,0,0,
2270,"38234","4",,,2602,"",0,0,0,
2271,"38234","4",76.5,106.63,2602,"1",0,0,0,
2272,"38234","2",,,2602,"",0,0,0,
2273,"38234","2",,,2603,"",0,0,0,
2274,"38234","2",76.5,106.44,2602,"1",0,0,0,
2275,"38235","1",,,3453,"",0,0,0,
2276,"38235","1",,,3454,"",0,0,0,
2277,"38235","1",70.6,106.46,3452,"1",0,0,0,
2278,"38235","2",,,3454,"",0,0,0,
2279,"38235","2",,,3455,"",0,0,0,
2280,"38235","2",70.6,106.26,3455,"1",0,0,0,
2281,"38271","1",,,2109,"",0,0,0,
2282,"38271","1",,,2110,"",0,0,0,
2283,"38271","1",128.3,140.51,2106,"1",0,0,0,
2284,"38271","2",,,2106,"",0,0,0,
2285,"38271","2",,,2110,"",0,0,0,
2286,"38271","2",128.3,140.45,2108,"1",0,0,0,
2287,"38167","",128.3,140.22,5224,"1",0,0,0,
2288,"38167","",,,5224,"",0,0,0,
2289,"38167","",128.3,139.87,5223,"1",0,0,0,
2290,"38167","",,,5223,"",0,0,0,
2291,"38167","",128.2,140.06,5223,"1",0,0,0,
2292,"38167","",,,5226,"",0,0,0,
2293,"38273","",128.3,140.46,5227,"1",0,0,0,
2294,"38273","",,,5222,"",0,0,0,
2295,"38273","",128.2,140.37,5226,"1",0,0,0,
2296,"38273","",,,5224,"",0,0,0,
2297,"38273","",128.3,140.16,5221,"1",0,0,0,
2298,"37912","",,,5218,"",0,0,0,
2299,"37912","",128.3,144.14,5215,"1",0,0,0,
2300,"38212","",,,5208,"",0,0,0,
2301,"38212","",128.3,144.64,5213,"1",0,0,0,
2302,"38212","",,,5213,"",0,0,0,
2303,"38212","",128.3,144.18,5214,"1",0,0,0,
2304,"38272","",128.4,140.26,4522,"1",0,0,0,
2305,"38272","",,,4521,"",0,0,0,
2306,"38272","",128.4,140.56,4521,"1",0,0,0,
2307,"38166","",,,4524,"",0,0,0,
2308,"38166","",128.4,140.09,4522,"1",0,0,0,
2310,"38340","",0,0,0,"",1.338,8.45,0,
2311,"38340","",0,0,0,"",1.382,0,0,
2312,"38170","",0,0,0,"",3.702,6.97,0,
2313,"38170","",0,0,0,"",3.96,0,0,
2314,"38170","",0,0,0,"",3.815,0,0,
2315,"38170","",0,0,0,"",3.719,0,0,
2316,"38170","",0,0,0,"",3.839,0,0,
2317,"38170","",0,0,0,"",3.679,0,0,
2318,"38349","",0,0,0,"",0.269,7.91,0,
2319,"38349","",0,0,0,"",0.282,0,0,
2320,"38170","1",,,8333,"",0,0,0,
2321,"38170","1",,,8338,"",0,0,0,
2322,"38170","1",76.6,106.73,8332,"1",0,0,0,
2323,"38170","2",,,8333,"",0,0,0,
2324,"38170","2",,,8338,"",0,0,0,
2325,"38170","2",76.6,106.7,8328,"1",0,0,0,
2326,"38170","3",,,8332,"",0,0,0,
2327,"38170","3",,,8336,"",0,0,0,
2328,"38170","3",76.6,106.83,8332,"1",0,0,0,
2329,"38170","4",,,8329,"",0,0,0,
2330,"38170","4",,,8335,"",0,0,0,
2331,"38170","4",76.6,106.62,8329,"1",0,0,0,
2332,"38170","5",,,8332,"",0,0,0,
2333,"38170","5",,,8337,"",0,0,0,
